gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953756,2_DR0701_Day 14_lib41128,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953757,2_DR0701_Day 14_lib41129,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953758,2_DR0701_Day 14_lib41130,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953759,2_DR0701_Day 14_lib41131,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953760,2_DR0701_Day 14_lib41132,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953761,2_DR0701_Day 14_lib41133,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953762,2_DR0701_Day 14_lib41134,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953763,2_DR0701_Day 14_lib41135,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953764,2_DR0701_Day 14_lib41136,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953765,2_DR0701_Day 14_lib41137,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953766,2_DR0701_Day 14_lib41138,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953767,2_DR0701_Day 14_lib41139,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953768,2_DR0701_Day 14_lib41140,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953769,2_DR0701_Day 14_lib41141,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953770,2_DR0701_Day 14_lib41142,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953771,2_DR0701_Day 14_lib41143,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953772,2_DR0701_Day 14_lib41144,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953773,2_DR0701_Day 14_lib41145,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953774,2_DR0701_Day 14_lib41146,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953775,2_DR0701_Day 14_lib41147,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953776,2_DR0701_Day 14_lib41148,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953777,2_DR0701_Day 14_lib41149,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953778,2_DR0701_Day 14_lib41150,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953779,2_DR0701_Day 14_lib41151,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953780,2_DR0701_Day 14_lib41152,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953781,2_DR0701_Day 14_lib41153,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953782,2_DR0701_Day 14_lib41154,CD4 T cell,2,DR0701,FALSE,Day 14
