gene_id,ensembl_id,symbol,log2FC_HZ,padj_HZ
ENSG00000147437,ENSG00000147437,BATF,-0.396601334886562,0.0034618881765733
ENSG00000104957,ENSG00000104957,VPS37C,0.28883333608803,0.0034840949405444
ENSG00000069943,ENSG00000069943,MRPL55,-0.234310494858923,0.0034937895321636
ENSG00000259823,ENSG00000259823,CCNQ,-0.642859672781078,0.003527856758188
ENSG00000165115,ENSG00000165115,MT1E,-0.309641998324334,0.0035575065101355
ENSG00000162910,ENSG00000162910,NICOL1,0.44636411244267,0.0035631194706086
ENSG00000105677,ENSG00000105677,LYPD8,0.480902984945069,0.0035631194706086
ENSG00000196209,ENSG00000196209,NCBP2AS2,-0.432976318464953,0.0035631194706086
ENSG00000026751,ENSG00000026751,ANKRD49,0.490591691238134,0.003626883046863
ENSG00000155111,ENSG00000155111,DYNC1LI1,-0.364887953743814,0.0036465432326007
ENSG00000186810,ENSG00000186810,PLD1,0.647184755743699,0.0037119895740108
ENSG00000243449,ENSG00000243449,SPOPL,0.730891024953873,
ENSG00000148655,ENSG00000148655,LINC00908,-0.527948099378829,0.0037507313010835
ENSG00000267696,ENSG00000267696,PSMC3,0.696708070709625,0.0037613643310863
ENSG00000109586,ENSG00000109586,TRIB2,-0.284465597188574,0.0037909310420822
ENSG00000165916,ENSG00000165916,PDE4D,0.397365018416125,0.003811307706583
ENSG00000138678,ENSG00000138678,PIAS1,-0.340347933372816,0.003811307706583
ENSG00000135365,ENSG00000135365,LRMDA,-0.348855212801911,0.003811307706583
ENSG00000144231,ENSG00000144231,GNRH1,0.292372643745144,0.0038398072576687
ENSG00000164983,ENSG00000164983,CXCR3,-0.302519681635467,0.0038398072576687
ENSG00000119335,ENSG00000119335,LDLRAD3,0.303760743851174,0.0038398072576687
ENSG00000128284,ENSG00000128284,PHF21A,0.323633639715386,0.0038894097263735
ENSG00000129235,ENSG00000129235,TMEM147,0.510566061551182,0.0038894097263735
ENSG00000071575,ENSG00000071575,ERVK-28,0.321552657187571,0.0038894097263735
ENSG00000075651,ENSG00000075651,GORAB,-0.327654406986702,0.0039384727380613
ENSG00000144228,ENSG00000144228,GAB2,-0.362652982377163,0.0039384727380613
ENSG00000198223,ENSG00000198223,GPAT3,-0.309385230365938,0.0039384727380613
ENSG00000144635,ENSG00000144635,CSF2RA,-0.260382578064622,0.0039384727380613
ENSG00000120370,ENSG00000120370,RASSF3,0.403786806909848,0.0039384727380613
ENSG00000270170,ENSG00000270170,SORL1,0.454565337170245,0.0039384727380613
ENSG00000163625,ENSG00000163625,CBL,-0.409214511361892,0.0040357165538265
ENSG00000089157,ENSG00000089157,LINC01478,0.504568563682857,0.0040357165538265
ENSG00000137642,ENSG00000137642,EXOC6,-0.380193915670174,0.0040593610438136
ENSG00000133048,ENSG00000133048,IGHA2,-0.496913494107174,0.004108883281041
ENSG00000248323,ENSG00000248323,NUMB,-0.367409142434275,0.004108883281041
ENSG00000033327,ENSG00000033327,KIF13A,-0.384513145085193,0.0041108437860599
ENSG00000122566,ENSG00000122566,KIF27,0.27849064075341,0.004121139360296
ENSG00000184611,ENSG00000184611,RNF169,-0.489504255099577,0.004121139360296
ENSG00000113448,ENSG00000113448,SSR3,-0.346585686475611,0.004121139360296
ENSG00000169715,ENSG00000169715,FCF1,0.889922884788031,
ENSG00000138190,ENSG00000138190,ASPH,-0.308733252846472,0.0041649191266575
ENSG00000187608,ENSG00000187608,CREB5,1.07513268432314,0.0042488942914615
ENSG00000146592,ENSG00000146592,SEMA3C,-0.378069854180999,0.0042488942914615
ENSG00000165886,ENSG00000165886,SAMD9,-0.368535326164705,0.0042488942914615
ENSG00000168876,ENSG00000168876,RPLP0,0.300138089085769,0.0042488942914615
ENSG00000166441,ENSG00000166441,CCNY,0.467673069316575,0.0043515071916609
ENSG00000137177,ENSG00000137177,FAR2,-0.341314530373285,0.0043515071916609
ENSG00000110080,ENSG00000110080,FAM185A,-0.3825967542269,0.0043772106891152
ENSG00000254258,ENSG00000254258,,0.888096665390967,
ENSG00000261371,ENSG00000261371,RPL27A,-0.248713246591227,0.0043912382765707
ENSG00000075223,ENSG00000075223,PCBP3,-0.42602925243145,0.0044163083560072
ENSG00000137261,ENSG00000137261,PDP1,-0.373778706525005,0.0044228005604492
ENSG00000153179,ENSG00000153179,ATP2B1,-0.36050088864902,0.0044228005604492
ENSG00000198363,ENSG00000198363,ST3GAL4,-0.345796842394269,0.0044550772582604
ENSG00000138185,ENSG00000138185,GIMAP6,-0.610066431778698,
ENSG00000073921,ENSG00000073921,TRERF1,-0.348292291805799,0.0044653393208982
ENSG00000110395,ENSG00000110395,SUMO3,-0.293092609905708,0.0045583791395878
ENSG00000262919,ENSG00000262919,KCNH7,0.480702722921869,0.0045706232973835
ENSG00000131355,ENSG00000131355,BATF2,-0.30429295667496,0.0045771387975331
ENSG00000064763,ENSG00000064763,KIAA0319,-0.416609805076948,0.0045771387975331
ENSG00000119616,ENSG00000119616,PICALM,0.202782527580047,0.0045892077196454
ENSG00000112701,ENSG00000112701,WDFY3,-0.234025817559337,0.0046411106074777
